Tempo,Usina,Potencia Ativa(kW),Potencia Ativa Prevista (Random Forest),PR,Status
2024-10-31 14:48:00,BET01 ,190.819,196.39509600226785,0.9716077635553412,Normal
2024-10-31 14:53:00,BET01 ,204.61,199.00736099410364,1.02815292347936,Normal
2024-10-31 14:58:00,BET01 ,201.246,198.8635252827424,1.0119804509845143,Normal
2024-10-31 15:03:00,BET01 ,196.014,197.44485080371803,0.9927531622228,Normal
2024-10-31 15:08:00,BET01 ,166.117,180.82233089668173,0.9186752497672199,Normal
2024-10-31 15:13:00,BET01 ,184.764,182.5857482008279,1.0119300209388535,Normal
2024-10-31 15:18:00,BET01 ,179.101,178.6961848269234,1.0022653822938004,Normal
2024-10-31 15:23:00,BET01 ,189.205,182.38399648152296,1.0373991339704418,Normal
2024-10-31 15:28:00,BET01 ,189.513,186.9602625714421,1.013653903741082,Normal
2024-10-31 15:33:00,BET01 ,184.575,184.67840472617883,0.9994400821994746,Normal
2024-10-31 15:38:00,BET01 ,179.983,180.3265419410457,0.9980948897630499,Normal
2024-10-31 15:43:00,BET01 ,175.28300000000002,177.14015031298507,0.9895159267410369,Normal
2024-10-31 15:48:00,BET01 ,164.398,167.8113266656015,0.9796597361249443,Normal
2024-10-31 15:53:00,BET01 ,163.231,162.3041153716499,1.0057107894413377,Normal
2024-10-31 15:58:00,BET01 ,157.07,155.0998278825625,1.0127026067297074,Normal
2024-10-31 16:03:00,BET01 ,156.862,153.60692370596385,1.0211909477483387,Normal
2024-10-31 16:08:00,BET01 ,138.779,144.20956194833,0.9623425667829449,Normal
2024-10-31 16:13:00,BET01 ,120.978,127.59868281099824,0.9481132354571016,Normal
2024-10-31 16:18:00,BET01 ,104.648,114.20204523668788,0.9163408569707593,Normal
2024-10-31 16:23:00,BET01 ,71.08,87.86939533887887,0.8089278380245072,Normal
2024-10-31 16:28:00,BET01 ,57.57,71.82496282291675,0.8015319150521231,Normal
2024-10-31 16:33:00,BET01 ,36.88,49.091382029946416,0.7512520217398381,Normal
2024-10-31 16:38:00,BET01 ,34.199,30.87724177339909,1.1075794998458257,Normal
2024-10-31 16:43:00,BET01 ,16.116,23.53421319683321,0.6847902611066933,Normal
2024-10-31 16:48:00,BET01 ,14.058,14.280562595214054,0.9844149980975789,Normal
2024-10-31 16:53:00,BET01 ,15.929,12.219650463293368,1.3035561080776537,Normal
2024-10-31 16:58:00,BET01 ,9.751,11.488720837004058,0.8487454903241248,Normal
2024-10-31 17:03:00,BET01 ,6.629,7.4272175937466525,0.8925280451701438,Normal
2024-10-31 17:08:00,BET01 ,4.898,4.8471559280450816,1.0104894648964644,Normal
2024-10-31 17:13:00,BET01 ,3.621,3.6801163961258863,0.9839362700081663,Normal
2024-10-31 17:18:00,BET01 ,3.384,2.837524405181972,1.1925888615513007,Normal
2024-10-31 17:23:00,BET01 ,1.67,1.860717477461777,0.8975032589461477,Normal
2024-10-31 17:28:00,BET01 ,0.906,0.6686009101839772,1.355068451448411,Normal
2024-11-01 06:13:00,BET01 ,18.12,42.757248817541,0.4237877904007318,Normal
2024-11-01 06:18:00,BET01 ,80.143,72.12786786454518,1.1111239299421285,Normal
2024-11-01 06:23:00,BET01 ,85.295,96.491408112314,0.8839647142543343,Normal
2024-11-01 06:28:00,BET01 ,95.549,105.23600525374611,0.9079497057077689,Normal
2024-11-01 06:33:00,BET01 ,110.989,116.732400150315,0.9507985774050796,Normal
2024-11-01 06:38:00,BET01 ,125.717,131.69000721855724,0.9546434285735573,Normal
2024-11-01 06:43:00,BET01 ,154.21,155.34537152511066,0.9926913076716475,Normal
2024-11-01 06:48:00,BET01 ,166.272,170.22927669663878,0.9767532543553542,Normal
2024-11-01 06:53:00,BET01 ,174.543,172.6938239025638,1.0107078299365213,Normal
